,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,Repetition
10395,F1 Macro,1.0,"ACF, with covariable",ACF+SVC,0.7141701149753491,0.03402104268334154,0.023890851838288346,0.04086475498891634,,8.0
10396,F1 Macro,1.0,"ACF, with covariable",ACF+RF,0.7141701149753491,0.03402104268334154,0.023890851838288346,0.04086475498891634,,8.0
10397,F1 Macro,1.0,"ACF, with covariable",ACF+Ridge,0.7141701149753491,0.03402104268334154,0.023890851838288346,0.04086475498891634,,8.0
10398,F1 Macro,0.8609372827145042,KNN,KNN,0.7141701149753491,0.03402104268334154,0.023890851838288346,0.04086475498891634,9.6,8.0
10399,F1 Macro,0.967933375684594,KNN,KNN+ROs,0.7141701149753491,0.03402104268334154,0.023890851838288346,0.04086475498891634,76.9,8.0
10400,F1 Macro,1.0,DBC,DBC,0.7141701149753491,0.03402104268334154,0.023890851838288346,0.04086475498891634,,8.0
10401,F1 Macro,0.27500492264416315,Listwise Deletion,SVC,0.7141701149753491,0.03402104268334154,0.023890851838288346,0.04086475498891634,,8.0
10402,F1 Macro,0.30673726812438074,Listwise Deletion,RF,0.7141701149753491,0.03402104268334154,0.023890851838288346,0.04086475498891634,,8.0
10403,F1 Macro,0.3294876493846906,Listwise Deletion,Ridge,0.7141701149753491,0.03402104268334154,0.023890851838288346,0.04086475498891634,,8.0
10404,F1 Macro,1.0,"ACF, correlation-only",ACF+SVC,0.7048312394863487,0.03305727080182023,0.0205319889849703,0.03770258679920349,,8.0
10405,F1 Macro,1.0,"ACF, correlation-only",ACF+RF,0.7048312394863487,0.03305727080182023,0.0205319889849703,0.03770258679920349,,8.0
10406,F1 Macro,1.0,"ACF, correlation-only",ACF+Ridge,0.7048312394863487,0.03305727080182023,0.0205319889849703,0.03770258679920349,,8.0
10407,F1 Macro,1.0,"ACF, with covariable",ACF+SVC,0.7048312394863487,0.03305727080182023,0.0205319889849703,0.03770258679920349,,8.0
10408,F1 Macro,1.0,"ACF, with covariable",ACF+RF,0.7048312394863487,0.03305727080182023,0.0205319889849703,0.03770258679920349,,8.0
10409,F1 Macro,0.9838109114456856,"ACF, with covariable",ACF+Ridge,0.7048312394863487,0.03305727080182023,0.0205319889849703,0.03770258679920349,,8.0
10410,F1 Macro,0.8948332823863233,KNN,KNN,0.7048312394863487,0.03305727080182023,0.0205319889849703,0.03770258679920349,4.5,8.0
10411,F1 Macro,0.975958648876067,KNN,KNN+ROs,0.7048312394863487,0.03305727080182023,0.0205319889849703,0.03770258679920349,71.6,8.0
10412,F1 Macro,0.9919862162920223,DBC,DBC,0.7048312394863487,0.03305727080182023,0.0205319889849703,0.03770258679920349,,8.0
