,Dataset,Value,Method,Algorithm,Repetition
273,Petralia IRS,0.790909090909091,"ACF, correlation only",ACF+SVC,4
274,Petralia IRS,0.7783730158730159,"ACF, correlation only",ACF+RF,4
275,Petralia IRS,0.9682539682539683,"ACF, correlation only",ACF+Ridge,4
276,Petralia IRS,0.8488095238095238,"ACF, correlation only",ACF+SVC,4
277,Petralia IRS,0.8488095238095238,"ACF, correlation only",ACF+RF,4
278,Petralia IRS,0.7821428571428571,"ACF, correlation only",ACF+Ridge,4
279,Petralia IRS,0.7444444444444445,"ACF, correlation only",ACF+SVC,4
280,Petralia IRS,0.7958333333333333,"ACF, correlation only",ACF+RF,4
281,Petralia IRS,0.8083333333333332,"ACF, correlation only",ACF+Ridge,4
282,Petralia IRS,0.9707792207792207,"ACF, correlation only",ACF+SVC,4
283,Petralia IRS,0.7612554112554113,"ACF, correlation only",ACF+RF,4
284,Petralia IRS,0.802922077922078,"ACF, correlation only",ACF+Ridge,4
285,Petralia IRS,0.821969696969697,"ACF, correlation only",ACF+SVC,4
286,Petralia IRS,0.8136363636363636,"ACF, correlation only",ACF+RF,4
287,Petralia IRS,0.8988095238095237,"ACF, correlation only",ACF+Ridge,4
288,Petralia IRS,0.7957792207792207,"ACF, correlation only",ACF+SVC,4
289,Petralia IRS,0.790719696969697,"ACF, correlation only",ACF+RF,4
290,Petralia IRS,0.7672619047619047,"ACF, correlation only",ACF+Ridge,4
291,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+SVC,4
292,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+RF,4
293,Petralia IRS,0.8803030303030304,"ACF, correlation only",ACF+Ridge,4
294,Petralia IRS,0.8178030303030304,"ACF, correlation only",ACF+SVC,4
295,Petralia IRS,0.7047619047619048,"ACF, correlation only",ACF+RF,4
296,Petralia IRS,0.7261363636363636,"ACF, correlation only",ACF+Ridge,4
297,Petralia IRS,0.5727564102564102,"ACF, correlation only",ACF+SVC,4
298,Petralia IRS,0.5583333333333333,"ACF, correlation only",ACF+RF,4
299,Petralia IRS,0.7617424242424242,"ACF, correlation only",ACF+Ridge,4
300,Petralia IRS with Covariable,0.7797619047619048,"ACF, with covariable",ACF+SVC,5
301,Petralia IRS with Covariable,0.8166666666666667,"ACF, with covariable",ACF+RF,5
302,Petralia IRS with Covariable,0.8154761904761905,"ACF, with covariable",ACF+Ridge,5
303,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+SVC,5
304,Petralia IRS with Covariable,0.8217261904761906,"ACF, with covariable",ACF+RF,5
305,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,5
306,Petralia IRS with Covariable,0.9154761904761904,"ACF, with covariable",ACF+SVC,5
307,Petralia IRS with Covariable,0.8515873015873017,"ACF, with covariable",ACF+RF,5
308,Petralia IRS with Covariable,0.9182539682539682,"ACF, with covariable",ACF+Ridge,5
309,Petralia IRS with Covariable,0.746969696969697,"ACF, with covariable",ACF+SVC,5
310,Petralia IRS with Covariable,0.6884157509157509,"ACF, with covariable",ACF+RF,5
311,Petralia IRS with Covariable,0.7979166666666666,"ACF, with covariable",ACF+Ridge,5
312,Petralia IRS with Covariable,0.9253968253968254,"ACF, with covariable",ACF+SVC,5
313,Petralia IRS with Covariable,1.0,"ACF, with covariable",ACF+RF,5
314,Petralia IRS with Covariable,0.7694444444444444,"ACF, with covariable",ACF+Ridge,5
315,Petralia IRS with Covariable,0.8738095238095238,"ACF, with covariable",ACF+SVC,5
316,Petralia IRS with Covariable,0.9112554112554112,"ACF, with covariable",ACF+RF,5
317,Petralia IRS with Covariable,0.9571428571428571,"ACF, with covariable",ACF+Ridge,5
318,Petralia IRS with Covariable,0.7464285714285714,"ACF, with covariable",ACF+SVC,5
319,Petralia IRS with Covariable,0.7916666666666666,"ACF, with covariable",ACF+RF,5
